nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 23 wir_after_threshold 48.98213824554124 0.496
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 23 pad_after_threshold 47.45681231098545 0.485
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 23 opt_after_threshold 56.671027926596885 0.5060869565217392
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 23 str_after_threshold 33.2661659063433 0.595
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 23 pix_after_threshold 21.001771802377643 0.647
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 23 3d_noquant_after_drift 20.749858881056493 0.673
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 23 3d_noquant_before_drift 19.491207256623714 0.9
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 24 gem_after_threshold 55.86612239418552 0.48746238716148443
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 24 wir_after_threshold 54.297509748784954 0.4934934934934935
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 24 pad_after_threshold 52.82530331390699 0.4844844844844845
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 24 opt_after_threshold 58.14979758458623 0.5105008077544426
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 24 str_after_threshold 47.42707348591829 0.5675675675675675
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 24 pix_after_threshold 42.987913831132595 0.5545545545545546
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 24 3d_noquant_after_drift 21.034324805354245 0.67
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 24 3d_noquant_before_drift 20.265038464505707 0.951
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 25 gem_after_threshold 57.01173285364498 0.5115115115115115
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 25 wir_after_threshold 50.42706080109683 0.5135135135135135
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 25 pad_after_threshold 46.70039423953348 0.5055055055055055
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 25 opt_after_threshold 56.50708273335888 0.518796992481203
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 25 str_after_threshold 32.08010041059658 0.611
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 25 pix_after_threshold 23.95505474875067 0.669
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 25 3d_noquant_after_drift 23.748320554821728 0.696
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 25 3d_noquant_before_drift 23.112422498641383 0.899
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 26 gem_after_threshold 58.720781797746035 0.4864864864864865
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 26 wir_after_threshold 47.501172977955356 0.512
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 26 pad_after_threshold 42.05959595349126 0.503
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 26 opt_after_threshold 56.1219073323179 0.5446808510638298
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 26 str_after_threshold 29.297463919772124 0.642
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 26 pix_after_threshold 18.775551289384584 0.704
nucleus, energy[keV], readout, ang. res.[degrees], head_tail eff. = helium 26 3d_noquant_after_drift 18.592914028627625 0.753
